Obra;Casa térrea unifamiliar de 64 m² (fictícia, caso sintético)
Data-base;março/2026
Encargos sociais;80,00% sobre a mão de obra, horista, sem desoneração (valor fictício)
;
Item;Descrição;Unidade;Quantidade;Preço unitário (R$);Total (R$)
1;SERVIÇOS PRELIMINARES;;;;
1.1;Locação da obra com gabarito de madeira;m²;80,00;12,50;1.000,00
1.2;Placa de obra em chapa galvanizada;m²;2,00;350,00;700,00
;Subtotal 1;;;;1.700,00
2;FUNDAÇÕES;;;;
2.1;Escavação manual de vala;m³;12,00;65,00;780,00
2.2;Concreto estrutural fck 25 MPa lançado em sapatas;m²;4,50;620,00;2.790,00
2.3;Armação de aço CA-50;kg;180,00;11,35;2.043,00
;Subtotal 2;;;;5.613,00
3;ESTRUTURA;;;;
3.1;Forma de madeira para vigas e pilares;m²;36,00;88,40;3.182,40
3.2;Concreto estrutural fck 25 MPa em vigas e pilares;m³;3,20;640,00;2.048,00
3.3;Laje pré-moldada treliçada;m²;64,00;95,00;6.080,00
;Subtotal 3;;;;11.410,40
4;ALVENARIA;;;;
4.1;Alvenaria de blocos cerâmicos 9x19x19 cm;m²;120,00;58,90;7.068,00
4.2;Verga e contraverga pré-moldadas;;18,00;32,00;576,00
4.3;Chapisco em parede;m²;240,00;4,37;1.048,80
;Subtotal 4;;;;8.692,80
5;COBERTURA;;;;
5.1;Estrutura de madeira para telhado;m²;72,00;78,33;5.639,76
5.2;Telha cerâmica;m²;72,00;41,20;2.966,40
5.3;Rufo em chapa galvanizada;m;0,00;45,00;0,00
7.1;Calha em chapa galvanizada;m;14,00;52,00;728,00
;Subtotal 5;;;;9.334,16
6;REVESTIMENTOS E PINTURA;;;;
6.1;Reboco em massa única nas paredes;m²;213,35;29,80;6.357,83
6.2;Pintura látex PVA nas paredes internas;m²;213,35;12,47;2.660,47
;Subtotal 6;;;;9.018,30
;CUSTO DIRETO TOTAL;;;;45.768,66
;PREÇO TOTAL DA OBRA;;;;45.768,66
